Meldejahr;Meldewoche;Alle_Altersmedian;Hosp_Altersmedian;ITS_Altersmedian;Verstorben_Altersmedian;FÃ¤lle gesamt;Alle_MW_Alter;Hosp_MW_Alter;ITS_MW_Alter;Verst_MW_Alter
2020;10;45;51;69.5;79;898;43;50;66;77
2020;11;47;58;67;80;6432;45;57;66;76
2020;12;47;64;69;80;22389;45;63;67;77
2020;13;49;69;70;80;33970;48;65;68;78
2020;14;52;72;71;83;36047;51;68;68;81
2020;15;52;74;71;83;27135;52;69;69;81
2020;16;52;75;71;83;17331;51;69;68;81
2020;17;50;75;71;84;12344;50;67;68;81
2020;18;48;72;70;82;7428;48;66;68;80
2020;19;46;71;71;82;6236;47;66;69;81
2020;20;44;71;74;84;4764;45;64;70;81
2020;21;41;69;72;84;3597;44;65;72;81
2020;22;40;67;68;80;3205;42;63;65;78
2020;23;36;63;60;80;2351;39;59;58;77
2020;24;34;59;61.5;83;2341;37;56;60;77
2020;25;36;54;62.5;76;4190;36;56;65;75
2020;26;36;57;66;78.5;3154;37;56;63;76
2020;27;35;53;66;77.5;2686;36;54;63;72
2020;28;34;54;63;79;2422;36;54;60;75
2020;29;34;53;64;81;3024;36;53;63;77
2020;30;35;56;64;79;3925;36;54;60;77
2020;31;34;58;59;83;4833;36;57;60;80
2020;32;32;56;72;85;6056;34;54;68;81
2020;33;30;56;63;83;7950;32;53;61;81
2020;34;29;51;63;75;9596;32;50;62;70
2020;35;29;52;57;76.5;8829;32;51;58;74
2020;36;30;55;64;78.5;8615;33;53;63;75
2020;37;32;60;71;81;9759;35;57;65;79
2020;38;33;60;61;81;12291;36;59;60;79
2020;39;34;61;68.5;82;13057;37;59;65;80
2020;40;35;61;68;82;15921;38;58;67;78
2020;41;37;62;69;82;26108;39;59;67;80
2020;42;37;64;68.5;83;42060;39;61;66;81
2020;43;39;67;72;83;74856;40;63;68;81
2020;44;40;68;71;83;111009;41;63;68;80
2020;45;40;70;73;83;125728;41;64;69;81
2020;46;41;72;73;84;127763;42;66;70;82
2020;47;42;73;72;84;128356;43;67;69;82
2020;48;43;73;71;84;123183;44;67;69;82
2020;49;44;75;73;84;128354;45;69;70;82
2020;50;45;76;73;84;156291;46;69;70;82
2020;51;47;76;74;84;174715;46;69;71;82
2020;52;48;77;73;84;138951;48;70;71;82
2020;53;49;76;73;84;123075;49;70;70;82
2021;1;48;76;73;84;145447;48;70;71;82
2021;2;48;77;75;84;118907;48;70;72;83
2021;3;49;76;74;84;95521;48;71;72;82
2021;4;48;76;74;83;78125;48;70;70;82
2021;5;47;75;72;84;64563;46;69;70;81
2021;6;45;74;73;83;50805;45;68;70;80
2021;7;44;73;73;82;52393;44;67;69;80
2021;8;42;70;70;82;56348;42;66;67;79
2021;9;40;69;68;81;58363;40;64;66;78
2021;10;39;67;67;80;71290;39;63;65;77
2021;11;38;65;66;79;92570;39;62;65;76
2021;12;38;65;67;79;116256;38;61;64;76
2021;13;39;64;67;78;110096;39;61;64;75
2021;14;39;63;66;78;118238;39;60;64;75
2021;15;37;64;66;78;142012;38;60;64;75
2021;16;37;62;66;77;144753;37;60;63;74
2021;17;37;62;65;78;124826;37;59;63;75
2021;18;37;62;66;78;101014;37;59;64;75
2021;19;36;62;64;78;70848;37;59;63;75
2021;20;35;61;65;79;52731;36;58;63;76
2021;21;34;60;65;78;29898;35;58;61;76
2021;22;33;59;63;78;20696;34;57;63;75
2021;23;31;57;61;79;14026;33;55;60;74
2021;24;30;55;58;76;7262;32;53;56;73
2021;25;30;53;62;72;4813;32;51;59;73
2021;26;29;54;61;78;4345;32;51;62;73
2021;27;28;53;58.5;79.5;5556;32;52;58;75
2021;28;27;47;56;76;9076;30;49;55;75
2021;29;27;48;57;74;12603;30;48;57;72
2021;30;28;51;58.5;76.5;15481;31;50;57;73
2021;31;28;48;58;82;20391;30;49;56;78
2021;32;28;48;56;79;32020;30;48;55;74
2021;33;27;47;56;80;49569;29;47;56;75
2021;34;28;49;55;82;66175;29;49;55;78
2021;35;28;51;63;79;73408;30;51;59;74